Fri Apr  1 09:37:05 CST 2022

                            < M A T L A B (R) >
                  Copyright 1984-2017 The MathWorks, Inc.
                   R2017a (9.2.0.538062) 64-bit (glnxa64)
                             February 23, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 

audio_files_root =

    './results/test/audio/re_record/20/*.wav'

srun: Job step aborted: Waiting up to 32 seconds for job step to finish.
slurmstepd: error: *** STEP 141275.0 ON wmc-slave-g13 CANCELLED AT 2022-04-01T09:37:30 ***
slurmstepd: error: *** JOB 141275 ON wmc-slave-g13 CANCELLED AT 2022-04-01T09:37:30 ***
1467 62 62 66 
1468 62 62 66 
1475 62 62 67 
1481 62 62 66 
1507 62 62 69 
1514 62 62 68 
1515 62 62 63 
1516 62 62 68 
1517 62 62 64 
1518 62 62 67 
1522 62 62 65 
1526 54 54 63 
1536 54 54 66 
1538 54 54 64 
1540 54 54 63 
1544 54 54 63 
1546 54 54 60 
1548 54 54 61 
1554 54 54 62 
1557 54 54 62 
1563 54 54 63 
1564 54 54 64 
1570 54 54 60 
1576 54 54 62 
1578 54 54 58 
1581 54 54 63 
1585 54 54 63 
1594 54 54 60 
1596 54 54 59 
1606 54 54 62 
1608 54 54 59 
1610 54 54 61 
1620 54 54 63 
1627 54 54 61 
1628 54 54 58 
1766 54 54 67 
3846 0 0 43 
3876 0 0 46 
3880 0 0 45 
3883 1 1 41 
739 59 59 66 
1677 42 42 61 
2978 18 18 50 
2984 18 18 54 
2989 18 18 54 
2990 18 18 51 
2992 18 18 54 
2993 18 18 54 
2994 18 18 54 
2995 18 18 51 
2999 18 18 51 
3001 18 18 51 
3006 18 18 53 
3023 16 16 47 
3055 2 2 50 
3071 2 2 50 
3131 18 18 55 
3134 2 2 48 
3135 18 18 52 
3148 18 18 52 
3161 18 18 55 
3164 18 18 54 
3166 18 18 51 
3167 18 18 55 
3171 18 18 52 
3172 18 18 57 
3184 18 18 51 
3188 18 18 59 
3192 18 18 59 
3211 18 18 58 
3212 18 18 52 
3218 18 18 56 
3222 18 18 55 
3232 18 18 60 
3235 18 18 56 
3241 18 18 57 
3341 2 2 57 
3348 2 2 57 
3350 2 2 58 
3366 2 2 56 
3510 3 3 54 
3516 2 2 57 
3526 2 2 53 
3529 2 2 57 
3534 2 2 56 
3536 2 2 54 
3540 2 2 56 
3543 2 2 53 
3544 2 2 59 
3547 2 2 49 
3549 2 2 56 
3550 2 2 57 
3556 2 2 56 
3593 0 0 57 
3721 2 2 55 
3746 2 2 54 
3786 2 2 58 
438 15 15 60 
3246 18 18 47 
3308 50 50 56 
3322 18 18 52 
3335 2 2 55 
3341 2 2 54 
3389 18 18 52 
3422 18 18 56 
3430 2 2 53 
3432 34 34 55 
3442 34 34 52 
3457 2 2 51 
3470 34 34 54 
3480 34 34 54 
3481 2 2 51 
3484 34 34 54 
3493 34 34 56 
3494 2 2 54 
3496 2 2 51 
3498 34 34 55 
3503 34 34 52 
3519 34 34 50 
3521 34 34 55 
3538 2 2 54 
3540 34 34 52 
3541 2 2 53 
3543 34 34 52 
3553 2 2 49 
3554 2 2 58 
3556 2 2 57 
3561 34 34 56 
3565 2 2 53 
3566 2 2 51 
3567 2 2 54 
3569 2 2 56 
3573 2 2 56 
